Key	[en] Platform - prod	[ru] Russian 	[ko] Korean 	[zh-cn] Simplified Chinese 	[zh-tw] Traditional Chinese	[fr] French 	[de] German	[es] Spanish 	[pt] Portuguese 	[it] Italian 	[pl] Polish 	[cs] Czech	[tr] Turkish 	[ja] Japanese 	[th] Thai 	[vi] Vietnamese 	[hu] Hungarian
cookies.message	We use cookies on this site to enhance your user experience. For a complete overview of of all cookies used, please see your personal settings.	Мы используем файлы cookie, чтобы улучшить ваш пользовательский опыт. Полный перечень всех используемых файлов cookie можно найти в личных настройках.	저희는 이 사이트에서 귀하의 사용자 경험을 향상하기 위해 쿠키를 사용합니다. 사용하는 모든 쿠키의 개요를 확인하려면 개인 설정을 검토하세요.	我们在本网站上使用cookies，用于增强用户体验。请在个人设置查看所有有关使用的cookies的完整概述。	我們在本網站上使用Cookie來提升你的使用者體驗。有關使用的所有Cookie的完整概述，請參閱你的個人設定。	Nous utilisons des cookies sur ce site afin d'améliorer votre expérience. Consultez vos paramètres personnels pour voir les cookies que nous utilisons.	Wir verwenden Cookies auf dieser Website, um dein Benutzererlebnis zu verbessern. Eine vollständige Übersicht aller verwendeten Cookies findest du in deinen persönlichen Einstellungen.	Usamos cookies en este sitio para mejorar tu experiencia de usuario. Para ver todas las cookies que usamos, consulta tus ajustes personales.	Usamos cookies neste site para aprimorar sua experiência de usuário. Para uma visão geral de todos os cookies usados, verifique suas configurações pessoais.	In questo sito utilizziamo i cookie per migliorare la tua esperienza d'uso. Per una panoramica completa di tutti i cookie utilizzati, consulta le impostazioni personali.	Używamy plików cookie na stronie, by poprawiać wrażenia użytkownika. Pełny przegląd wykorzystywanych plików cookie znajduje się w ustawieniach osobistych.	Soubory cookie na tomto webu využíváme k prohloubení tvého uživatelského zážitku. Kompletní přehled všech použitých souborů cookie najdeš ve svém přizpůsobeném nastavení.	Kullanıcı deneyimini geliştirmek için bu sitede çerez kullanıyoruz. Kullanılan tüm çerezlerin eksiksiz görünümü için lütfen kişisel ayarlarına bak.	このサイトではクッキーを利用し、閲覧者様のユーザー体験を向上させております。すべてのクッキーの使用に関する詳細情報につきましては、個人設定をご覧ください。	เราใช้คุกกี้บนเว็บไซต์นี้เพื่อปรับปรุงประสบการณ์ใช้งานของคุณ สำหรับรายละเอียดการใช้งานคุกกี้ทั้งหมด กรุณาดูได้ที่การตั้งค่าส่วนตัวของคุณ	Chúng tôi sử dụng cookie trên trang web này để cải thiện trải nghiệm người dùng cho bạn. Để xem tổng quan về tất cả cookie chúng tôi sử dụng, vui lòng xem phần cài đặt cá nhân của bạn.	Az oldalon a felhasználói élmény javítása érdekében sütiket (cookie) használunk. Az összes itt használt süti áttekintéséhez kérjük, tekintsd meg a személyes beállításaidat.
cookies.customize	Customize	Настроить	사용자 지정	自定义	自訂	Personnaliser	Anpassen	Personalizar	Personalizar	Personalizza	Dostosuj	Přizpůsobit	Özelleştir	カスタマイズ	ปรับแต่ง	Tùy chỉnh	Testreszabás
cookies.accept	Accept	Принять	수락	接受	接受	Accepter	Akzeptieren	Aceptar	Aceitar	Accetta	Zaakceptuj	Přijmout	Kabul Et	許可	ยอมรับ	Chấp nhận	Elfogadás
cookies.decline	Decline	Отклонить	거절	拒绝	拒絕	Refuser	Ablehnen	Rechazar	Recusar	Rifiuta	Odrzuć	Odmítnout	Reddet	拒否	ปฏิเสธ	Từ chối	Elutasítás

menu.home	Home	Главная	홈	主页	首頁	Accueil	Startseite	Inicio	Página inicial	Home	Strona główna	Domů	Ana Sayfa	ホーム	หน้าหลัก	Trang chủ	Kezdőlap
menu.games	Games	Игры	게임	游戏	遊戲	Jeux	Spiele	Juegos	Jogos	Giochi	Gry	Hry	Oyunlar	ゲーム	เกม	Game	Játékok
menu.news	News	Новости	뉴스	动态	新聞	Actus	Nachrichten	Novedades	Notícias	Notizie	Wiadomości	Zprávy	Haberler	ニュース	ข่าวสาร	Tin tức	Hírek
menu.forum	Forum	Форум	포럼	论坛	論壇	Forum	Forum	Foro	Fórum	Forum	Forum	Fórum	Forum	フォーラム	ฟอรัม	Diễn đàn	Fórum
menu.support	Support	Поддержка	지원	支持	支援	Assistance	Support	Asistencia	Suporte	Supporto	Wsparcie	Podpora	Destek	サポート	สนับสนุน	Hỗ trợ	Ügyfélszolgálat
menu.login	Log in	Войти	로그인	登录	登錄	Connexion	Anmelden	Iniciar sesión	Login	Accedi	Zaloguj się	Přihlásit se	Giriş Yap	ログイン	ล็อกอิน	Đăng nhập	Bejelentkezés
menu.download	Download Now	Скачать сейчас	지금 다운로드	立即下载	立即下載	Télécharger	Jetzt herunterladen	Descargar ahora	Baixar agora	Scarica ora	Pobierz teraz	Stáhnout hned	Hemen İndir	今すぐダウンロード	ดาวน์โหลดเลย	Tải về ngay	Letöltés most
menu.profile	Profile	Профиль	프로필	个人资料	簡介	Profil	Profil	Perfil	Perfil	Profilo	Profil	Profil	Profil	プロフィール	โปรไฟล์	Hồ sơ	Profil
menu.logout	Logout	Выйти	로그아웃	登出	登出	Déconnexion	Abmelden	Cerrar sesión	Logout	Disconnetti	Wyloguj się	Odhlásit se	Çıkış Yap	ログアウト	ล็อกเอาต์	Đăng xuất	Kijelentkezés

footer.allRightsReserved	All rights reserved	Все права защищены	모든 권리 보유	版权所有	版權所有	Tous droits réservés	Alle Rechte vorbehalten	Todos los derechos reservados	Todos os direitos reservados	Tutti i diritti riservati	Wszystkie prawa zastrzeżone	Všechna práva vyhrazena	Tüm hakları saklıdır	All rights reserved	สงวนลิขสิทธิ์	Bảo lưu mọi quyền	Minden jog fenntartva.
footer.termsOfService	Terms of Service	Условия обслуживания	이용약관	服务条款	服務條款	Conditions d'utilisation	Nutzungsbedingungen	Condiciones del servicio	Termos de Serviço	Termini di servizio	Warunki świadczenia usług	Podmínky poskytování služby	Hizmet Şartları	利用規約	ข้อตกลงการให้บริการ	Điều khoản dịch vụ	Szolgáltatási feltételek
footer.privacyAndCookiesPolicy	Privacy and cookies policy	Конфиденциальность и правила использования файлов cookie	개인정보 처리방침 및 쿠키 정책	隐私和Cookie政策	隱私和Cookie政策	Politique de confidentialité et de cookies	Datenschutz- und Cookie-Richtlinie	Política de cookies y de privacidad	Política de Privacidade e cookies	Informativa sulla privacy e sui cookie	Polityka prywatności i dotycząca plików cookie	Zásady ochrany soukromí a používání souborů cookie	Gizlilik ve çerez politikası	プライバシーとクッキーポリシー	นโยบายความเป็นส่วนตัวและคุกกี้	Chính sách quyền riêng tư và cookie	Adatvédelmi és sütiszabályzat
footer.aboutLongTaleGames	About Long Tale Games	О Long Tale Games	Long Tale Games 정보	关于Long Tale Games	關於Long Tale Games	À propos de Long Tale Games	Über Long Tale Games	Acerca de Long Tale Games	Sobre Long Tale Games	Su Long Tale Games	Informacje o Long Tale Games	Informace o Long Tale Games	Long Tale Games Hakkında	Long Tale Gamesについて	เกี่ยวกับ Long Tale Games	Về Long Tale Games	A Long Tale Gamesről

auth.title	Authorization	Авторизация	인증	授权	授權	Autorisation	Autorisierung	Autorización	Autorização	Autorizzazione	Uwierzytelnianie	Autorizace	Yetkilendirme	認証	การอนุญาต	Ủy quyền	Hitelesítés
auth.desc	Authorization with Xsolla Wallet is a simple and secure way to access the LTG Multiverse. Your personal data is in good hands!	Авторизация при помощи аккаунта Xsolla — самый простой и безопасный способ присоединиться к LTG Multiverse. Ваши данные в надежных руках!	Xsolla 계정으로 인증하면 LTG Multiverse를 쉽고 안전하게 이용할 수 있습니다. 개인 데이터는 안전하게 보관됩니다!	使用Xsolla帐户授权是访问LTG简单而安全的方式。你的个人数据将得到妥善保管！	使用Xsolla帳戶進行授權是一種簡單而安全的方式來進入LTG。你的個人資料必將得到妥善保管！	L'autorisation accordée via un compte Xsolla est un moyen simple et sécurisé d'accéder au LTG Multiverse. Vos données à caractère personnel sont entre de bonnes mains !	Die Autorisierung mit dem Xsolla-Konto ist eine einfache und sichere Möglichkeit, um auf LTG Multiverse zuzugreifen. Deine persönlichen Daten sind bei uns in sicheren Händen!	La autorización con la cuenta de Xsolla es una forma fácil y segura de acceder a LTG Multiverse. ¡Tus datos personales están en buenas manos!	A autorização com a conta Xsolla é uma forma simples e segura de acessar o LTG Multiverse. Seus dados pessoais estão em boas mãos!	L'autorizzazione con l'Account Xsolla è un modo semplice e sicuro per accedere a LTG Multiverse. I tuoi dati personali sono in buone mani!	Uwierzytelnianie za pomocą konta Xsolla jest prostym i bezpiecznym sposobem na uzyskanie dostępu do LTG Multiverse. Twoje dane osobowe są w dobrych rękach!	Autorizace pomocí účtu Xsolla je jednoduchým a bezpečným způsobem, jak získat přístup k LTG Multiverse. Tvé osobní údaje jsou v dobrých rukách!	Xsolla Hesabı ile yetkilendirme, LTG Multiverse'e erişmenin basit ve güvenli bir yoludur. Kişisel verilerin güvenli ellerde!	Xsollaアカウントを使った認証は、LTG Multiverseにアクセスするためのシンプルかつ安全な方法です。個人情報はしっかりとお守りいたします！	การอนุญาตด้วยบัญชี Xsolla เป็นวิธีง่ายๆ และปลอดภัยในการเข้าถึง LTG Multiverse ทั้งหมด ข้อมูลของคุณจะได้รับการเก็บไว้เป็นอย่างดี!	Ủy quyền bằng Tài khoản Xsolla là cách đơn giản và bảo mật để đắm mình vào LTG Multiverse. Dữ liệu cá nhân của bạn sẽ được bảo mật!	Xsolla-fiókkal hitelesítve egyszerűen és biztonságosan érheted el az LTG Multiverse-t. Személyes adataid jó kezekben vannak!
auth.tip	For more info on Xsolla Wallet, see the User Guide	Подробная информация об аккаунте Xsolla в руководстве пользователя.	Xsolla 계정에 대한 더 자세한 정보는 사용자 가이드에서 확인하세요	请参阅用户指南，了解Xsolla账户的更多信息。	有關Xsolla帳戶的更多資訊，請參閱用戶導覽。	Pour en savoir plus sur le compte Xsolla, consultez le guide d'utilisation	Weitere Informationen zum Xsolla-Konto findest du im Benutzerhandbuch	Para más información sobre la cuenta de Xsolla, consulta la guía de usuario.	Para mais informações sobre a conta Xsolla, confira o guia do usuário	Per maggiori informazioni sull'Account Xsolla, consulta la Guida utente.	Dodatkowe informacje na temat konta Xsolla znajdują się w poradniku użytkownika	Více informací o účtu Xsolla najdeš v uživatelské příručce	Xsolla Hesabı hakkında daha fazla bilgi için Kullanıcı Rehberine bak	Xsollaアカウントについての詳細は、ユーザーガイドをご覧ください	ดูรายละเอียดเพิ่มเติมเรื่องบัญชี Xsolla ได้ที่คู่มือผู้ใช้งาน	Để biết thêm thông tin về Tài khoản Xsolla, hãy xem Hướng dẫn sử dụng	Ha többet szeretnél megtudni a Xsolla-fiókról, nézd meg Felhasználói útmutatónkat

news.showMore	Show more	Больше результатов	더 보기	显示更多	顯示更多	Voir plus	Mehr zeigen	Ver más	Ver mais	Mostra di più	Pokaż więcej	Zobrazit více	Daha fazla göster	さらに表示	แสดงเพิ่ม	Xem thêm	Több infó
news.readMore	Read more	Читать далее	더 읽기	阅读更多	閱讀更多	Lire plus	Mehr lesen	Leer más	Ler mais	Per saperne di più	Czytaj dalej	Přečíst více	Daha fazla oku	全文を読む	อ่านเพิ่ม	Đọc thêm	Tovább olvasom
news.allNews	All news	Все новости	모든 소식	所有动态	所有新聞	Toutes les actus	Alle Nachrichten	Todas las novedades	Todas as notícias	Tutte le notizie	Wszystkie wiadomości	Všechny zprávy	Tüm haberler	すべてのニュース	ข่าวทั้งหมด	Tất cả tin tức	Minden hír
news.relatedNews	Related news	Похожие	관련 소식	相关动态	相關新聞	Actus associées	Ähnliche Nachrichten	Novedades relacionadas	Notícias relacionadas	Notizie correlate	Powiązane wiadomości	Související zprávy	İlgili haberler	関連ニュース	ข่าวที่เกี่ยวข้อง	Tin tức liên quan	Kapcsolódó hírek

paymentSuccess.title	Payment Success Page	Успешный платеж	결제 완료 페이지	支付成功页面	成功付款頁面	Page du paiement effectué	Seite Zahlungserfolg	Pago realizado con éxito	Página de pagamento bem-sucedido	Pagina di avvenuto pagamento	Strona pomyślnego dokonania płatności	Stránka o úspěšné platbě	Ödeme Başarılı Sayfası	決済完了画面	หน้าชำระเงินสำเร็จ	Trang thanh toán thành công	Sikeres fizetés oldal
paymentSuccess.desc	Please wait	Подождите	잠시 기다려주세요	请稍等	請稍候	Veuillez patienter	Bitte warten ...	Espera	Aguarde	Attendere prego	Zaczekaj	Okamžik, prosím	Lütfen bekle	お待ちください	กรุณารอสักครู่	Vui lòng chờ	Kérjük, várj

techWorks.title	Maintenance in progress	Ведутся технические работы	점검 중	维护进行中	維護中	Maintenance en cours	Wartungsarbeiten laufen	Mantenimiento en curso	Manutenção em andamento	Manutenzione in corso	Trwają prace techniczne	Probíhá údržba	Bakım devam ediyor	メンテナンス作業中です	กำลังอยู่ระหว่างซ่อมบำรุง	Đang bảo trì	Karbantartás folyamatban

gift.loading.title	Unpacking your gift	Распаковываем ваш подарок	선물 개봉 중	拆开礼物	打開你的禮物	Ouverture de votre cadeau	Packe dein Geschenk aus	Abriendo tu regalo	Abrindo o seu presente	Scarta il regalo	Rozpakowywanie podarunku	Tvůj dárek se rozbaluje	Hediyen açılıyor	ギフトを開封しています	กำลังเปิดของขวัญ	Đang mở gói quà của bạn	Ajándékod kicsomagolása
gift.loading.desc	Please wait until your gift link is applied	Дождитесь активации ссылки на подарок	선물 링크가 적용될 때까지 기다려주세요	请等待，直到礼品链接生效	請等待禮品連結應用生效	Veuillez patienter, nous appliquons le lien du cadeau	Bitte warte, bis dein Geschenklink aktiviert ist	Espera hasta que tu enlace de regalo se aplique	Aguarde até seu link de presente ser aplicado	Attendi che il tuo link regalo venga applicato	Poczekaj, aż link twojego podarunku zostanie użyty	Počkej, než se použije tvůj odkaz na dárek	Hediye bağlantın uygulanana kadar lütfen bekle	ギフトリンクが適用されるまでお待ちください	กรุณารอสักครู่จนกว่าลิงก์ของขวัญจะใช้งานได้	Vui lòng chờ đến khi liên kết quà của bạn được áp dụng	Kérjük, várj, amíg élesítjük ajándékhivatkozásodat
gift.received.title	All set	Готово	준비 완료	完成	準備就緒	Tout est prêt	Alles bereit	Todo listo	Tudo pronto	Tutto pronto	Wszystko gotowe	Vše je připraveno	Her şey hazır	準備完了です	เรียบร้อย	Đã xong	Minden kész
gift.received.desc	You received your gift	Подарок получен	선물을 받았습니다	你收到了礼物	你已收到禮物	Vous avez reçu un cadeau	Du hast dein Geschenk erhalten	Has recibido tu regalo	Você recebeu o seu presente	Hai ricevuto il tuo regalo	Podarunek dotarł do ciebie	Máš svůj dárek	Hediyeni aldın	ギフトを受け取りました	คุณได้รับของขวัญ	Bạn đã nhận quà	Megkaptad az ajándékodat

access.title	Access Page	Доступ	액세스 페이지	访问页面	存取頁面	Page d'accès	Zugangsseite	Página de acceso	Página de acesso	Pagina di accesso	Strona dostępu	Přístupová stránka	Erişim Sayfası	アクセスページ	หน้าการเข้าถึง	Trang truy cập	Hozzáférési oldal

game.learnMore	Learn more	Подробнее	더 알아보기	了解更多	了解更多	En savoir plus	Mehr erfahren	Saber más	Saber mais	Per saperne di più	Dowiedz się więcej	Zjistit více	Daha fazla öğren	詳細	เรียนรู้เพิ่มเติม	Tìm hiểu thêm	További infó
game.website	Website	Сайт	웹사이트	网站	網站	Site internet	Website	Sitio web	Website	Sito web	Witryna	Web	İnternet Sitesi	ウェブサイト	เว็บไซต์	Trang web	Weboldal
game.subscribe	Subscribe	Оформить подписку	구독	订阅	訂閱	M'abonner	Abonnieren	Suscribirse	Inscrever-se	Abbonati	Zasubskrybuj	Předplatit	Abone Ol	サブスクライブ	สมัครรับ	Đăng ký	Előfizetés
game.gift	Gift a friend	Подарить другу	친구에게 선물	赠与朋友	饋贈好友	Offrir	Beschenke einen Freund	Regalar a un amigo	Presentear amigo	Regala a un amico	Podaruj znajomemu	Obdarovat přítele	Bir arkadaşa hediye et	フレンドへのギフト	ส่งของขวัญให้เพื่อน	Tặng quà cho bạn	Ajándék egy barátodnak
game.buy	Buy now	Купить	지금 구매	现在购买	立即購買	Acheter	Jetzt kaufen	Comprar ahora	Comprar agora	Acquista ora	Kup teraz	Koupit hned	Şimdi satın al	今すぐ購入	ซื้อเลย	Mua ngay	Vedd meg most!
game.play	Play now	Играть	지금 플레이	开始游戏	立即遊玩	Jouer	Jetzt spielen	Jugar ahora	Jogar agora	Gioca ora	Zagraj już teraz	Hrát hned	Şimdi oyna	今すぐプレイ	เล่นเลย	Chơi ngay	Játssz most!
game.dashboard	Dashboard	Панель информации	대시보드	仪表板	儀表板	Tableau de bord	Übersicht	Panel de control	Painel de controle	Dashboard	Pulpit nawigacyjny	Ovládací panel	Pano	ダッシュボード	แดชบอร์ด	Bảng điều khiển	Irányítópult
game.download	Download	Скачать	다운로드	下载	下載	Télécharger	Herunterladen	Descargar	Baixar	Scarica	Pobierz	Stáhnout	İndir	ダウンロード	ดาวน์โหลด	Tải về	Letöltés
game.sale	Sale	Распродажа	세일	销售	促銷	Promo	Angebot	Oferta	Promoção	Sconto	Wyprzedaż	Výprodej	İndirim	セール	ลดราคา	Giảm giá	Akció
game.release	Release date	Дата релиза	출시일	发布日期	上市日期	Date de sortie	veröffentlichung	Fecha de lanzamiento	Data de lançamento	Data di pubblicazione	Data premiery	Datum vydání	Çıkış tarihi	発売日	วันปล่อยเกม	Ngày phát hành	Megjelenési dátum
game.modifications	Modifications	Модификации	모드	改动	修改	Modifications	Änderungen	Modificaciones	Modificações	Modifiche	Modyfikacje	Modifikace	Değişiklikler	MOD	ปรับแต่ง	Sửa đổi	Módosítások
game.genre	Genre	Жанр	장르	类别	類型	Genre	Genre	Género	Gênero	Genere	Gatunek	Žánr	Tür	ジャンル	ประเภท	Thể loại	Műfaj
game.languages	Languages	Языки	언어	语言	語言	Langues	Sprachen	Idiomas	Idiomas	Lingue	Języki	Jazyky	Diller	言語	ภาษา	Ngôn ngữ	Nyelvek
game.platform	Platform	Платформа	플랫폼	平台	平台	Plateforme	Plattform	Plataforma	Plataforma	Piattaforma	Platforma	Platforma	Platform	プラットフォーム	แพลตฟอร์ม	Nền tảng	Platform
game.developer	Developer	Разработчик	개발자	开发者	開發人員	Développeur	Entwickler	Desarrollador	Desenvolvedor	Sviluppatore	Producent	Vývojář	Geliştirici	開発	ผู้พัฒนา	Nhà phát triển	Fejlesztő
game.cloud	Cloud	Облако	클라우드	云	雲端	Cloud	Cloud	Nube	Nuvem	Cloud	Chmura	Cloud	Bulut	クラウド	คลาวด์	Đám mây	Felhő
game.nft	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT	NFT
game.html5	HTML5	HTML5	HTML5	HTML5	HTML5	HTML5	HTML 5	HTML5	HTML5	HTML5	HTML5	HTML5	HTML5	HTML5	HTML5	HTML5	HTML5
game.system.title	System requirements	Системные требования	시스템 요구사항	系统要求	系統要求	Configuration requise	Systemanforderungen	Requisitos del sistema	Requisitos de sistema	Requisiti di sistema	Wymagania systemowe	Požadavky na systém	Sistem gereksinimleri	動作環境	ความต้องการของระบบ	Yêu cầu về hệ thống	Rendszerkövetelmények
game.system.minimal	Minimal	Минимальные	최소	最低	最低	Minimale	Minimal	Mínimos	Mínimos	Minimi	Minimalne	Minimální	Minimum	最低	ขั้นต่ำ	Tối thiểu	Minimális
game.system.recommended	Recommended	Рекомендуемые	권장	推荐	推薦	Recommandée	Empfohlen	Recomendados	Recomendados	Consigliati	Zalecane	Doporučené	Önerilen	推奨	แนะนำ	Khuyến nghị	Ajánlott
game.system.os	OS	OС	OS	操作系统	操作系統	Système d'exploitation	BS	SO	SO	SO	System operacyjny	OS	İşletim Sistemi	OS	OS	HĐH	Op. rendszer
game.system.cpu	CPU	ПРОЦЕССОР	CPU	中央处理器	中央處理器	Processeur	CPU	CPU	CPU	CPU	Procesor	CPU	İşlemci	CPU	CPU	CPU	Processzor
game.system.ram	RAM	RAM	RAM	内存	中央處理器	Mémoire vive	RAM	RAM	RAM	RAM	RAM	RAM	Bellek	RAM	RAM	RAM	Memória
game.system.gpu	GPU	Видеокарта	GPU	图形处理器	圖形處理器	Graphiques	GPU	GPU	GPU	GPU	Karta graficzna	GPU	Ekran Kartı	GPU	GPU	GPU	GPU
game.system.directx	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX	DirectX
game.system.network	Network	Тип соединения	네트워크	网络	连接形式	Réseau	Netzwerk	Red	Rede	Rete	Sieć	Síť	Ağ	Network	เครือข่าย	Mạng	Hálózat
game.system.storage	Storage	Память	저장소	存储	儲存	Espace disque	Speicher	Almacenamiento	Armazenamento	Spazio	Miejsce na dysku	Úložiště	Depolama	ストレージ	พื้นที่เก็บข้อมูล	Dung lượng lưu trữ	Tárhely
game.news	News	Новости	뉴스	动态	新聞	Actus	Nachrichten	Novedades	Notícias	Notizie	Wiadomości	Zprávy	Haberler	ニュース	ข่าวสาร	Tin tức	Hírek
game.showMore	Show more	Больше результатов	더 보기	显示更多	顯示更多	Voir plus	Mehr zeigen	Ver más	Ver mais	Mostra di più	Pokaż więcej	Zobrazit více	Daha fazla göster	さらに表示	แสดงเพิ่ม	Xem thêm	Több infó
game.screenshots	Screenshots	Скриншоты	스크린샷	截屏	螢幕擷取畫面	Captures d'écran	Screenshots	Capturas de pantalla	Imagens	Screenshot	Zrzuty ekranu	Snímky obrazovky	Ekran Görüntüleri	スクリーンショット	สกรีนช็อต	Ảnh chụp màn hình	Képernyőképek
game.videos	Videos	Видео	영상	视频	影片	Vidéos	Videos	Vídeos	Vídeos	Video	Wideo	Videa	Videolar	動画	วิดีโอ	Video	Videók

